種類,価格情報区分,area_code,都道府県名,地区名,最寄駅：名称,distance,price,間取り,面積（㎡）,built_year,建物の構造,用途,今後の利用目的,都市計画,建ぺい率（％）,容積率（％）,year,改装,取引の事情等,時間軸(年次) 補助コード,都道府県・市部－郡部－市区町村別 補助コード,出生数【人】,2500g未満出生数【人】,死亡数【人】,乳児（１歳未満）死亡数【人】,新生児（生後4週未満）死亡数【人】,自然死産数【胎】,人工死産数【胎】,周産期死亡数【胎・人】,妊娠満22週以後の死産数【胎】,早期新生児（生後1週未満）死亡数【人】,婚姻件数【組】,離婚件数【組】
中古マンション等,不動産取引価格情報,27208,大阪府,海塚,貝塚(大阪),6,17000000,３ＬＤＫ,75,1997,ＲＣ,住宅,住宅,２中住専,60,200,2022,未改装,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,海塚,貝塚(大阪),7,13000000,,75,1997,ＲＣ,住宅,住宅,２中住専,60,200,2022,,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,海塚,貝塚(大阪),5,21000000,２ＬＤＫ,65,1997,ＲＣ,住宅,住宅,２中住専,60,200,2021,改装済み,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,海塚,貝塚(大阪),5,12000000,２ＬＤＫ,65,1997,ＲＣ,住宅,住宅,２中住専,60,200,2021,未改装,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,海塚,貝塚(大阪),5,14000000,３ＬＤＫ,85,1997,ＲＣ,住宅,住宅,２中住専,60,200,2019,未改装,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,海塚,貝塚(大阪),5,13000000,４ＬＤＫ,85,1997,ＲＣ,住宅,住宅,２中住専,60,200,2019,未改装,調停・競売等,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,浦田,二色浜,2,15000000,,70,2000,ＲＣ,,その他,１種住居,60,200,2021,未改装,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,浦田,二色浜,2,14000000,３ＬＤＫ,65,2000,ＲＣ,住宅,その他,１種住居,60,200,2021,未改装,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,王子,和泉橋本,10,8600000,,60,1996,ＲＣ,,住宅,１種住居,60,200,2023,,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,王子,和泉橋本,9,9600000,３ＬＤＫ,60,1996,ＲＣ,,住宅,１中住専,60,200,2022,未改装,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,王子,和泉橋本,10,9300000,３ＬＤＫ,75,1996,ＲＣ,,住宅,１種住居,60,200,2020,,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,王子,和泉橋本,9,11000000,３ＬＤＫ,60,1996,ＲＣ,住宅,,１中住専,60,200,2019,,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,北町,貝塚(大阪),12,14000000,３ＬＤＫ,75,1986,ＲＣ,住宅,住宅,１種住居,60,200,2023,改装済み,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,北町,貝塚(大阪),13,3800000,３ＬＤＫ,65,1986,ＲＣ,住宅,住宅,１種住居,60,200,2023,,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,北町,貝塚(大阪),14,4700000,３ＬＤＫ,65,1986,ＲＣ,住宅,住宅,１種住居,60,200,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,北町,貝塚(大阪),6,8700000,３ＬＤＫ,65,1997,ＲＣ,,住宅,１種住居,60,200,2021,未改装,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,北町,貝塚(大阪),4,10000000,３ＬＤＫ,60,1997,ＲＣ,住宅,,１種住居,60,200,2019,未改装,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,近木町,貝塚(大阪),2,12000000,２ＬＤＫ,60,2003,ＳＲＣ,住宅,住宅,商業,80,400,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,近木町,貝塚(大阪),2,18000000,３ＬＤＫ,70,2003,ＳＲＣ,,住宅,商業,80,400,2023,改装済み,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,近木町,貝塚(大阪),2,14000000,３ＬＤＫ,65,2003,ＳＲＣ,住宅,住宅,商業,80,400,2019,未改装,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,小瀬,蛸地蔵,8,5300000,３ＤＫ,55,1991,ＲＣ,住宅,住宅,１種住居,60,200,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,小瀬,蛸地蔵,8,6500000,,65,1991,ＲＣ,住宅,住宅,１種住居,60,200,2021,,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,15,600000,,45,1976,ＲＣ,住宅,その他,１種住居,60,200,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,15,1700000,３ＤＫ,45,1976,ＲＣ,住宅,住宅,１種住居,60,200,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,11,9900000,３ＬＤＫ,65,1995,ＲＣ,住宅,住宅,１中住専,60,200,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,10,6500000,,60,1995,ＲＣ,,住宅,１中住専,60,200,2023,,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,14,3200000,２ＬＤＫ,45,1976,ＲＣ,,住宅,１種住居,60,200,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,14,2900000,３ＬＤＫ,45,1976,ＲＣ,住宅,住宅,１種住居,60,200,2022,未改装,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,11,9300000,３ＬＤＫ,65,1995,ＲＣ,,住宅,１種住居,60,200,2021,,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,11,5500000,,65,1995,ＲＣ,住宅,住宅,１中住専,60,200,2021,,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,11,7600000,３ＬＤＫ,65,1995,ＲＣ,,住宅,１中住専,60,200,2021,未改装,調停・競売等,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,7,4300000,３ＬＤＫ,65,1995,ＲＣ,住宅,その他,１中住専,60,200,2021,未改装,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,9,8600000,２ＤＫ＋Ｓ,60,1995,ＲＣ,住宅,住宅,１中住専,60,200,2020,改装済み,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,9,6000000,３ＬＤＫ,70,1995,ＲＣ,住宅,住宅,２中住専,60,200,2020,未改装,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,14,3800000,３ＬＤＫ,65,1995,ＲＣ,,住宅,１中住専,60,200,2020,未改装,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,9,5000000,３ＬＤＫ,60,1995,ＲＣ,,,１中住専,60,200,2019,,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,9,8900000,３ＬＤＫ,65,1995,ＲＣ,住宅,住宅,１中住専,60,200,2019,改装済み,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,11,6300000,３ＬＤＫ,60,1995,ＲＣ,,住宅,１中住専,60,200,2019,未改装,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,14,2200000,３ＤＫ,45,1976,ＲＣ,住宅,住宅,１種住居,60,200,2019,未改装,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,6,13000000,３ＬＤＫ,65,1995,ＲＣ,住宅,住宅,１中住専,60,200,2019,改装済み,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,7,11000000,３ＬＤＫ,75,1988,ＳＲＣ,,住宅,１種住居,60,200,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,6,11000000,２ＬＤＫ,60,1997,ＲＣ,住宅,住宅,１種住居,60,200,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,8,16000000,３ＬＤＫ,65,1987,ＳＲＣ,住宅,住宅,１種住居,60,200,2023,改装済み,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,6,8600000,３ＬＤＫ,65,1987,ＳＲＣ,,住宅,１種住居,60,200,2022,,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,5,19000000,４ＬＤＫ,75,1997,ＲＣ,住宅,住宅,１種住居,60,200,2022,改装済み,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,7,8000000,,60,1988,ＳＲＣ,住宅,住宅,１種住居,60,200,2022,,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,7,7000000,３ＬＤＫ,65,1988,ＳＲＣ,,住宅,１種住居,60,200,2021,未改装,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,5,14000000,４ＬＤＫ,75,1997,ＲＣ,住宅,住宅,１種住居,60,200,2021,未改装,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,5,12000000,,75,1997,ＲＣ,,住宅,１種住居,60,200,2021,,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,6,5500000,,65,1987,ＳＲＣ,住宅,住宅,１種住居,60,200,2020,,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,6,9400000,３ＬＤＫ,65,1987,ＳＲＣ,,住宅,１種住居,60,200,2020,未改装,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,9,7000000,３ＬＤＫ,65,1987,ＳＲＣ,住宅,住宅,１種住居,60,200,2020,未改装,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,4,9500000,３ＬＤＫ,60,1987,ＳＲＣ,,住宅,１種住居,60,200,2019,改装済み,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,5,13000000,３ＬＤＫ,65,1997,ＲＣ,住宅,住宅,１種住居,60,200,2019,未改装,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,新町,貝塚(大阪),5,11000000,３ＬＤＫ,65,1992,ＲＣ,住宅,住宅,２種住居,60,200,2022,改装済み,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,新町,貝塚(大阪),5,11000000,３ＬＤＫ,70,1992,ＲＣ,,その他,２種住居,60,200,2021,未改装,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,新町,貝塚(大阪),6,8000000,３ＬＤＫ,70,1992,ＲＣ,,住宅,２種住居,60,200,2019,未改装,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,新町,貝塚(大阪),5,14000000,３ＬＤＫ,65,1992,ＲＣ,,住宅,２種住居,60,200,2019,改装済み,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,6,7200000,３ＬＤＫ,65,1995,ＳＲＣ,住宅,住宅,１中住専,60,200,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,12000000,４ＬＤＫ,80,1997,ＳＲＣ,住宅,住宅,１中住専,60,200,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,14000000,３ＬＤＫ,65,1997,ＳＲＣ,住宅,住宅,１中住専,60,200,2023,改装済み,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,5,7100000,３ＬＤＫ,65,1997,ＳＲＣ,住宅,住宅,１中住専,60,200,2023,,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,10000000,３ＬＤＫ,70,1992,ＳＲＣ,,住宅,１中住専,60,200,2023,改装済み,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,2,16000000,３ＬＤＫ,75,1993,ＳＲＣ,住宅,住宅,１中住専,60,200,2023,改装済み,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,7100000,３ＬＤＫ,70,1991,ＳＲＣ,,住宅,１中住専,60,200,2022,未改装,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,2,10000000,３ＬＤＫ,70,1991,ＳＲＣ,住宅,住宅,１中住専,60,200,2022,改装済み,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,8100000,,75,1993,ＳＲＣ,住宅,住宅,１中住専,60,200,2022,,調停・競売等,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,3,8000000,４ＬＤＫ,85,1992,ＳＲＣ,住宅,住宅,１中住専,60,200,2022,未改装,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,5,9500000,,70,1995,ＳＲＣ,住宅,住宅,１中住専,60,200,2022,,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,8,13000000,３ＬＤＫ,70,1995,ＳＲＣ,,住宅,１中住専,60,200,2022,改装済み,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,7200000,,70,1993,ＳＲＣ,,住宅,１中住専,60,200,2022,,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,2,8800000,３ＬＤＫ,70,1993,ＳＲＣ,,住宅,１中住専,60,200,2022,改装済み,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,1,9000000,,85,1992,ＳＲＣ,,住宅,１中住専,60,200,2022,,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,1,9400000,３ＬＤＫ,65,1992,ＳＲＣ,,,１中住専,60,200,2022,未改装,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,3,6500000,,65,1992,ＳＲＣ,,住宅,１中住専,60,200,2021,,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,5,8000000,３ＬＤＫ,65,1997,ＳＲＣ,,住宅,１中住専,60,200,2021,,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,2,7300000,,75,1993,ＳＲＣ,住宅,住宅,１中住専,60,200,2021,,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,2,7300000,４ＬＤＫ,80,1993,ＳＲＣ,住宅,住宅,１中住専,60,200,2021,,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,8900000,３ＬＤＫ,70,1993,ＳＲＣ,,住宅,１中住専,60,200,2021,,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,3,5000000,３ＬＤＫ,70,1992,ＳＲＣ,,住宅,１中住専,60,200,2021,未改装,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,5,10000000,４ＬＤＫ,80,1997,ＳＲＣ,住宅,住宅,１中住専,60,200,2021,改装済み,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,13000000,３ＬＤＫ,75,1993,ＳＲＣ,住宅,住宅,１中住専,60,200,2021,改装済み,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,5,9000000,,90,1993,,住宅,住宅,１中住専,60,200,2021,,,,,455,35,944,1,1,6,3,4,3,1,243,131
