種類,価格情報区分,area_code,都道府県名,地区名,最寄駅：名称,distance,price,間取り,面積（㎡）,built_year,建物の構造,用途,今後の利用目的,都市計画,建ぺい率（％）,容積率（％）,year,改装,取引の事情等,時間軸(年次) 補助コード,都道府県・市部－郡部－市区町村別 補助コード,出生数【人】,2500g未満出生数【人】,死亡数【人】,乳児（１歳未満）死亡数【人】,新生児（生後4週未満）死亡数【人】,自然死産数【胎】,人工死産数【胎】,周産期死亡数【胎・人】,妊娠満22週以後の死産数【胎】,早期新生児（生後1週未満）死亡数【人】,婚姻件数【組】,離婚件数【組】
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,7000000,３ＬＤＫ,65,1997,ＳＲＣ,住宅,住宅,１中住専,60,200,2021,,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,14000000,４ＬＤＫ,80,1993,ＳＲＣ,,住宅,１中住専,60,200,2020,,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,12000000,４ＬＤＫ,95,1991,ＳＲＣ,,住宅,１中住専,60,200,2020,未改装,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,3,9000000,４ＬＤＫ,95,1991,ＳＲＣ,住宅,住宅,１中住専,60,200,2020,未改装,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,12000000,３ＬＤＫ,75,1995,ＳＲＣ,住宅,住宅,１種住居,60,200,2020,改装済み,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,3,5500000,３ＬＤＫ,65,1992,ＳＲＣ,住宅,,１中住専,60,200,2020,,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,9,7000000,,75,1995,ＳＲＣ,住宅,,１中住専,60,200,2019,,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,8700000,３ＬＤＫ,70,1993,ＳＲＣ,,住宅,１中住専,60,200,2019,未改装,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,3,12000000,３ＬＤＫ,70,1992,ＳＲＣ,,住宅,１中住専,60,200,2019,改装済み,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,6600000,,70,1993,ＳＲＣ,,,１中住専,60,200,2019,,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,6500000,４ＬＤＫ,95,1992,ＳＲＣ,住宅,,２低住専,50,100,2019,,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,5,7000000,３ＬＤＫ,70,1995,ＳＲＣ,,住宅,１中住専,60,200,2019,,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,6,6000000,３ＬＤＫ,70,1993,ＳＲＣ,住宅,,１中住専,60,200,2019,,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,7600000,４ＬＤＫ,80,1993,ＳＲＣ,,,１中住専,60,200,2019,,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),23,7800000,３ＬＤＫ,75,1993,ＳＲＣ,住宅,住宅,１中住専,60,200,2023,改装済み,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),23,5000000,３ＬＤＫ,95,1992,ＲＣ,住宅,住宅,１中住専,60,200,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),18,8700000,４ＬＤＫ,80,1989,ＲＣ,住宅,住宅,１中住専,60,200,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),19,4200000,３ＬＤＫ,70,1989,ＲＣ,住宅,住宅,１中住専,60,200,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),23,5000000,,85,1993,ＳＲＣ,,住宅,１中住専,60,200,2023,,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),18,15000000,２ＬＤＫ,15,1992,ＳＲＣ,,住宅,１中住専,60,200,2023,改装済み,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),26,5000000,,90,1992,ＲＣ,住宅,住宅,１中住専,60,200,2023,,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),20,13000000,,90,1993,ＳＲＣ,,,１中住専,60,200,2023,,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),20,14000000,２ＬＤＫ,70,1993,ＳＲＣ,住宅,住宅,１中住専,60,200,2023,改装済み,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),19,8800000,４Ｌ＋Ｋ,70,1989,ＲＣ,,住宅,１中住専,60,200,2022,改装済み,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),19,9100000,４ＬＤＫ,120,1992,ＲＣ,,住宅,１中住専,60,200,2022,未改装,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),18,6000000,４ＬＤＫ,90,1992,ＳＲＣ,住宅,住宅,１中住専,60,200,2022,未改装,調停・競売等,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),20,11000000,３ＬＤＫ,80,1992,ＳＲＣ,住宅,住宅,１中住専,60,200,2022,改装済み,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),20,14000000,４ＬＤＫ,95,1992,ＲＣ,住宅,住宅,１中住専,60,200,2022,,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),20,9500000,３ＬＤＫ,70,1989,ＲＣ,住宅,住宅,１中住専,60,200,2022,未改装,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),20,11000000,３ＬＤＫ,70,1989,ＲＣ,,住宅,１中住専,60,200,2022,改装済み,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),20,6600000,,70,1993,ＳＲＣ,住宅,住宅,１中住専,60,200,2022,,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),20,5300000,,75,1992,ＳＲＣ,,住宅,１中住専,60,200,2021,,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),24,6400000,３ＬＤＫ,75,1992,ＳＲＣ,住宅,住宅,１中住専,60,200,2021,改装済み,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),20,11000000,４ＬＤＫ,95,1992,ＳＲＣ,,住宅,１中住専,60,200,2021,未改装,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),19,8500000,３ＬＤＫ,85,1993,ＳＲＣ,,住宅,１中住専,60,200,2021,未改装,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),25,7800000,３ＬＤＫ,75,1993,ＲＣ,住宅,住宅,１種住居,60,200,2021,未改装,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),18,12000000,４ＬＤＫ,80,1989,ＲＣ,住宅,住宅,１中住専,60,200,2021,改装済み,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),16,6500000,２ＬＤＫ＋Ｓ,75,1992,ＳＲＣ,,住宅,１中住専,60,200,2021,未改装,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),19,8500000,,90,1993,ＳＲＣ,住宅,住宅,１中住専,60,200,2021,,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),19,5000000,３ＬＤＫ,70,1989,ＲＣ,,住宅,１中住専,60,200,2020,,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),21,4000000,,80,1993,ＳＲＣ,,住宅,１中住専,60,200,2020,,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),23,5700000,２ＬＤＫ,65,1993,ＳＲＣ,住宅,住宅,１中住専,60,200,2020,改装済み,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),20,6500000,,85,1993,ＳＲＣ,,,１中住専,60,200,2020,,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),20,9800000,３ＬＤＫ,70,1993,ＳＲＣ,,住宅,２中住専,60,200,2019,改装済み,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),18,4000000,３ＬＤＫ,70,1989,ＲＣ,,,１中住専,60,200,2019,未改装,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),23,4000000,２ＬＤＫ,70,1993,ＳＲＣ,住宅,,１中住専,60,200,2019,,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),19,8900000,３ＬＤＫ,90,1993,ＳＲＣ,,住宅,１中住専,60,200,2019,未改装,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),25,6300000,３ＬＤＫ,100,1992,ＲＣ,住宅,その他,１中住専,60,200,2019,未改装,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),21,6400000,３ＬＤＫ,75,1992,ＳＲＣ,住宅,住宅,１中住専,60,200,2019,改装済み,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),20,8500000,３ＬＤＫ,85,1993,ＳＲＣ,住宅,その他,２中住専,60,200,2019,改装済み,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,西町,貝塚(大阪),8,9000000,３ＬＤＫ,65,1997,ＲＣ,住宅,その他,１種住居,60,200,2023,,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,西町,貝塚(大阪),8,11000000,３ＬＤＫ,75,1997,ＲＣ,,住宅,１種住居,60,200,2022,,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,西町,貝塚(大阪),7,17000000,４ＬＤＫ,85,1997,ＲＣ,住宅,住宅,１種住居,60,200,2021,改装済み,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,西町,貝塚(大阪),8,13000000,４ＬＤＫ,85,1997,ＲＣ,,,１種住居,60,200,2020,未改装,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,西町,貝塚(大阪),8,12000000,３ＬＤＫ＋Ｓ,85,1997,ＲＣ,,,１種住居,60,200,2020,,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,西町,貝塚(大阪),8,15000000,３ＬＤＫ,70,1997,ＲＣ,住宅,住宅,１種住居,60,200,2020,改装済み,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,畠中,二色浜,12,9000000,３ＬＤＫ,70,1995,ＲＣ,住宅,住宅,１種住居,60,200,2023,,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,畠中,二色浜,11,15000000,３ＬＤＫ,70,1995,ＲＣ,,住宅,１種住居,60,200,2022,改装済み,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,畠中,二色浜,12,9100000,３ＬＤＫ,65,1995,ＲＣ,住宅,住宅,１種住居,60,200,2022,,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,畠中,二色浜,11,14000000,２ＬＤＫ,60,1995,ＲＣ,住宅,住宅,１種住居,60,200,2021,改装済み,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,畠中,二色浜,11,9500000,,70,1995,ＲＣ,住宅,住宅,１種住居,60,200,2021,,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,畠中,二色浜,12,8000000,２ＬＤＫ,60,1995,ＲＣ,住宅,住宅,１種住居,60,200,2020,,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,畠中,二色浜,11,11000000,４ＬＤＫ,70,1995,ＲＣ,,住宅,準住居,60,200,2019,未改装,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,半田,東貝塚,4,11000000,３ＬＤＫ,65,1996,ＲＣ,住宅,住宅,１中住専,60,200,2022,未改装,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,半田,東貝塚,4,14000000,３ＬＤＫ,65,1996,ＲＣ,住宅,住宅,１中住専,60,200,2022,改装済み,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,半田,東貝塚,4,7300000,２ＬＤＫ,65,1996,ＲＣ,,住宅,１中住専,60,200,2021,,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,半田,東貝塚,6,9000000,２ＬＤＫ＋Ｓ,60,1996,ＲＣ,住宅,,１中住専,60,200,2020,,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,半田,東貝塚,6,14000000,３ＬＤＫ,65,1996,ＲＣ,,住宅,１中住専,60,200,2019,改装済み,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,福田,東貝塚,9,13000000,３ＬＤＫ,80,2002,ＲＣ,,住宅,準工業,60,200,2021,,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,福田,東貝塚,8,12000000,２ＬＤＫ,75,2002,ＲＣ,住宅,住宅,準工業,60,200,2020,未改装,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,福田,東貝塚,9,13000000,３ＬＤＫ,80,2002,ＲＣ,住宅,住宅,準工業,60,200,2020,,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,堀,貝塚(大阪),14,4400000,３ＬＤＫ,80,1993,ＲＣ,住宅,住宅,１種住居,60,200,2023,改装済み,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,堀,貝塚(大阪),11,2500000,２ＬＤＫ,60,1981,ＳＲＣ,,住宅,１種住居,60,200,2022,,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,堀,貝塚(大阪),11,1000000,３ＬＤＫ,60,1981,ＳＲＣ,住宅,,１種住居,60,200,2022,未改装,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,堀,貝塚(大阪),14,4500000,３ＬＤＫ,65,1993,ＲＣ,,住宅,１種住居,60,200,2022,,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,堀,貝塚(大阪),11,11000000,３ＬＤＫ,65,1981,ＳＲＣ,住宅,住宅,１種住居,60,200,2022,未改装,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,堀,貝塚(大阪),11,4000000,,60,1981,ＳＲＣ,住宅,,１種住居,60,200,2019,,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,海塚,貝塚(大阪),5,19000000,３ＬＤＫ,80,1997,ＲＣ,住宅,住宅,２中住専,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,海塚,貝塚(大阪),6,12000000,,85,1997,ＲＣ,住宅,,２中住専,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,浦田,二色浜,2,16000000,３ＬＤＫ,65,2000,ＲＣ,,住宅,近隣商業,80,300,2018,改装済み,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,北町,貝塚(大阪),13,8200000,４ＬＤＫ,75,1986,ＲＣ,,住宅,１種住居,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,北町,貝塚(大阪),13,7300000,３ＬＤＫ,75,1986,ＲＣ,,住宅,１種住居,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,小瀬,蛸地蔵,9,8000000,３ＬＤＫ,65,1991,ＲＣ,,住宅,１種住居,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,15,1200000,２ＬＤＫ,45,1976,ＲＣ,住宅,,１種住居,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,11,9000000,３ＬＤＫ,65,1995,ＲＣ,住宅,住宅,１種住居,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,16,2500000,３ＤＫ,45,1976,ＲＣ,住宅,住宅,１種住居,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
