種類,価格情報区分,area_code,都道府県名,地区名,最寄駅：名称,distance,price,間取り,面積（㎡）,built_year,建物の構造,用途,今後の利用目的,都市計画,建ぺい率（％）,容積率（％）,year,改装,取引の事情等,時間軸(年次) 補助コード,都道府県・市部－郡部－市区町村別 補助コード,出生数【人】,2500g未満出生数【人】,死亡数【人】,乳児（１歳未満）死亡数【人】,新生児（生後4週未満）死亡数【人】,自然死産数【胎】,人工死産数【胎】,周産期死亡数【胎・人】,妊娠満22週以後の死産数【胎】,早期新生児（生後1週未満）死亡数【人】,婚姻件数【組】,離婚件数【組】
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,9,6200000,３ＬＤＫ,65,1995,ＲＣ,住宅,,１中住専,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,14,4300000,２ＤＫ,45,1976,ＲＣ,住宅,,１種住居,60,200,2018,改装済み,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,7,7000000,２ＬＤＫ,65,1995,ＲＣ,住宅,,１中住専,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,7,13000000,３ＬＤＫ,65,1988,ＳＲＣ,,住宅,１種住居,60,200,2018,改装済み,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,5,10000000,,70,1997,ＲＣ,住宅,,１種住居,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,6,12000000,３ＬＤＫ,60,1987,ＳＲＣ,,住宅,１種住居,60,200,2018,改装済み,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,新町,貝塚(大阪),5,11000000,,80,1992,ＲＣ,,,２種住居,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,新町,貝塚(大阪),5,7000000,,65,1992,ＲＣ,住宅,,２種住居,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,3,5600000,３ＬＤＫ,70,1992,ＳＲＣ,住宅,,１中住専,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,8,11000000,３ＬＤＫ,70,1995,ＳＲＣ,住宅,住宅,１中住専,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,5400000,３ＬＤＫ,80,1991,ＳＲＣ,,住宅,１中住専,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,5,9800000,３ＬＤＫ,75,1997,ＳＲＣ,住宅,住宅,１中住専,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,5,6500000,,70,1993,ＳＲＣ,住宅,,１中住専,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,3,9000000,４ＬＤＫ,85,1992,ＳＲＣ,,住宅,１中住専,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),23,8500000,３ＬＤＫ,100,1992,ＲＣ,住宅,住宅,１中住専,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),24,8800000,２ＬＤＫ,75,1993,ＳＲＣ,住宅,住宅,１中住専,60,200,2018,改装済み,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),19,9200000,４ＬＤＫ,80,1989,ＲＣ,住宅,住宅,１中住専,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),23,7800000,４ＬＤＫ,90,1993,ＳＲＣ,,住宅,１中住専,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,二色,二色浜,19,4300000,３ＬＤＫ,90,1992,ＲＣ,住宅,,１中住専,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,二色,二色浜,20,4200000,３ＬＤＫ,75,1992,ＳＲＣ,住宅,住宅,１中住専,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,半田,東貝塚,6,10000000,１ＬＤＫ＋Ｓ,65,1996,ＲＣ,住宅,,１中住専,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,福田,東貝塚,8,20000000,４ＬＤＫ,90,2002,ＲＣ,住宅,住宅,準工業,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,福田,東貝塚,9,19000000,３ＬＤＫ,80,2002,ＲＣ,住宅,住宅,準工業,60,200,2018,改装済み,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,福田,東貝塚,9,13000000,,80,2002,ＲＣ,住宅,,準工業,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,堀,貝塚(大阪),14,4500000,３ＬＤＫ,65,1993,ＲＣ,住宅,住宅,１種住居,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,南町,貝塚(大阪),8,6700000,３ＬＤＫ,55,1990,ＲＣ,住宅,住宅,１種住居,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,南町,貝塚(大阪),7,8800000,３ＤＫ,55,1990,ＲＣ,,住宅,１種住居,60,200,2018,改装済み,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,北町,貝塚(大阪),6,13000000,３ＬＤＫ＋Ｓ,75,1997,ＲＣ,,住宅,１種住居,60,200,2017,未改装,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,小瀬,蛸地蔵,8,11000000,３ＬＤＫ,65,1991,ＲＣ,住宅,住宅,１種住居,60,200,2017,改装済み,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,10,4600000,３ＬＤＫ,65,1995,ＲＣ,住宅,,１種住居,60,200,2017,,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,11,4700000,３ＬＤＫ,65,1995,ＲＣ,住宅,住宅,１中住専,60,200,2017,未改装,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,11,8000000,３ＬＤＫ,65,1995,ＲＣ,住宅,住宅,１中住専,60,200,2017,改装済み,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,7,8600000,３ＬＤＫ,75,1987,ＳＲＣ,住宅,,１種住居,60,200,2017,未改装,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,6,11000000,３ＬＤＫ,65,1987,,住宅,住宅,１種住居,60,200,2017,改装済み,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,6,16000000,３ＬＤＫ,70,1997,ＲＣ,住宅,住宅,１種住居,60,200,2017,改装済み,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,7,9800000,３ＬＤＫ,60,1988,ＳＲＣ,住宅,住宅,１種住居,60,200,2017,改装済み,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,新町,貝塚(大阪),8,13000000,３ＬＤＫ,70,1992,ＲＣ,住宅,住宅,２種住居,60,200,2017,改装済み,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,新町,貝塚(大阪),5,7000000,３ＬＤＫ,70,1992,ＲＣ,住宅,住宅,２種住居,60,200,2017,未改装,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,5700000,３ＬＤＫ,70,1995,ＳＲＣ,住宅,住宅,１種住居,60,200,2017,未改装,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,5,14000000,３ＬＤＫ,75,1995,ＳＲＣ,,住宅,１中住専,60,200,2017,改装済み,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,6,10000000,４ＬＤＫ,80,1993,ＳＲＣ,住宅,住宅,１中住専,60,200,2017,改装済み,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,6,7300000,３ＬＤＫ,70,1993,ＳＲＣ,住宅,住宅,１中住専,60,200,2017,改装済み,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,5,11000000,４ＬＤＫ,80,1995,ＳＲＣ,住宅,住宅,１低住専,60,200,2017,未改装,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),23,6500000,３ＬＤＫ,75,1993,ＳＲＣ,住宅,住宅,１中住専,60,200,2017,未改装,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),20,5800000,３ＬＤＫ,80,1992,ＳＲＣ,住宅,住宅,１中住専,60,200,2017,未改装,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,福田,東貝塚,8,17000000,３ＬＤＫ,80,2002,ＲＣ,住宅,住宅,準工業,60,200,2017,未改装,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,堀,貝塚(大阪),14,6200000,３ＬＤＫ,65,1993,ＲＣ,,住宅,１種住居,60,200,2017,未改装,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,南町,貝塚(大阪),10,11000000,４ＬＤＫ,70,1990,ＲＣ,住宅,住宅,１種住居,60,200,2017,改装済み,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,南町,貝塚(大阪),8,6200000,４ＬＤＫ,60,1990,ＲＣ,住宅,住宅,１種住居,60,200,2017,改装済み,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,海塚,貝塚(大阪),2,19000000,３ＬＤＫ,70,2003,ＳＲＣ,住宅,住宅,商業,80,400,2015,改装済み,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,浦田,二色浜,2,12000000,２ＬＤＫ,65,2000,ＲＣ,住宅,住宅,近隣商業,80,300,2015,未改装,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,王子,和泉橋本,9,7500000,３ＬＤＫ,60,1996,ＲＣ,住宅,住宅,１種住居,60,200,2015,未改装,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,小瀬,蛸地蔵,8,7600000,３ＬＤＫ,70,1991,ＲＣ,住宅,住宅,１種住居,60,200,2015,未改装,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,13,6200000,３ＬＤＫ,70,1995,ＲＣ,住宅,住宅,１中住専,60,200,2015,未改装,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,7,6800000,２ＬＤＫ,55,1995,ＲＣ,住宅,住宅,１中住専,60,200,2015,改装済み,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,5,8500000,４ＬＤＫ,65,1997,ＲＣ,住宅,その他,１種住居,60,200,2015,未改装,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,8,7800000,３ＬＤＫ,60,1988,ＳＲＣ,住宅,住宅,１種住居,60,200,2015,未改装,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,6,12000000,３ＬＤＫ,65,1988,ＳＲＣ,住宅,住宅,１種住居,60,200,2015,改装済み,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,新町,貝塚(大阪),8,9200000,３ＬＤＫ,65,1992,ＲＣ,住宅,住宅,２種住居,60,200,2015,改装済み,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,12000000,３ＬＤＫ,65,1997,ＳＲＣ,住宅,住宅,１中住専,60,200,2015,,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,7,14000000,３ＬＤＫ,75,1995,ＳＲＣ,住宅,住宅,１中住専,60,200,2015,改装済み,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),23,6800000,３ＬＤＫ,75,1993,ＳＲＣ,住宅,住宅,１中住専,60,200,2015,改装済み,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),26,4600000,３ＬＤＫ,75,1992,ＳＲＣ,住宅,住宅,２中住専,60,200,2015,未改装,関係者間取引,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),18,11000000,３ＬＤＫ,75,1992,ＳＲＣ,住宅,住宅,１中住専,60,200,2015,改装済み,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),20,11000000,４ＬＤＫ,95,1992,ＳＲＣ,住宅,住宅,１中住専,60,200,2015,改装済み,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),23,6000000,３ＬＤＫ,75,1993,ＳＲＣ,住宅,住宅,１中住専,60,200,2015,未改装,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,畠中,二色浜,12,9000000,３ＬＤＫ,65,1995,ＲＣ,住宅,住宅,１種住居,60,200,2015,,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,堀,貝塚(大阪),11,10000000,４ＬＤＫ,80,1981,ＳＲＣ,住宅,住宅,１種住居,60,200,2015,,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,南町,貝塚(大阪),9,9700000,３ＬＤＫ,60,1990,ＲＣ,住宅,住宅,１種住居,60,200,2015,改装済み,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,加治,貝塚(大阪),6,13000000,４ＬＤＫ,85,1997,ＲＣ,住宅,住宅,２中住専,60,200,2016,未改装,,,,665,61,851,1,0,4,11,0,0,0,347,160
中古マンション等,不動産取引価格情報,27208,大阪府,北町,貝塚(大阪),6,12000000,２ＬＤＫ,60,1997,ＲＣ,住宅,住宅,１種住居,60,200,2016,未改装,,,,665,61,851,1,0,4,11,0,0,0,347,160
中古マンション等,不動産取引価格情報,27208,大阪府,小瀬,蛸地蔵,8,8000000,３ＬＤＫ,65,1991,ＲＣ,住宅,住宅,１種住居,60,200,2016,改装済み,,,,665,61,851,1,0,4,11,0,0,0,347,160
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,9,7000000,３ＬＤＫ,65,1995,ＲＣ,住宅,住宅,１種住居,60,200,2016,未改装,,,,665,61,851,1,0,4,11,0,0,0,347,160
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,3,16000000,３ＬＤＫ,65,1997,ＲＣ,住宅,住宅,１種住居,60,200,2016,改装済み,,,,665,61,851,1,0,4,11,0,0,0,347,160
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,6,11000000,３ＬＤＫ,60,1987,ＳＲＣ,住宅,住宅,１種住居,60,200,2016,改装済み,,,,665,61,851,1,0,4,11,0,0,0,347,160
中古マンション等,不動産取引価格情報,27208,大阪府,新町,貝塚(大阪),5,7100000,３ＬＤＫ,65,1992,ＲＣ,住宅,住宅,２種住居,60,200,2016,未改装,,,,665,61,851,1,0,4,11,0,0,0,347,160
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,9600000,４ＬＤＫ,80,1993,ＳＲＣ,住宅,住宅,１中住専,60,200,2016,改装済み,,,,665,61,851,1,0,4,11,0,0,0,347,160
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,5,11000000,４ＬＤＫ,75,1997,ＳＲＣ,住宅,住宅,１中住専,60,200,2016,未改装,,,,665,61,851,1,0,4,11,0,0,0,347,160
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),24,7400000,３ＬＤＫ,75,1992,ＲＣ,住宅,住宅,１中住専,60,200,2016,改装済み,,,,665,61,851,1,0,4,11,0,0,0,347,160
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),18,7300000,４ＬＤＫ,95,1992,ＳＲＣ,住宅,住宅,１中住専,60,200,2016,未改装,,,,665,61,851,1,0,4,11,0,0,0,347,160
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),21,4700000,２ＬＤＫ,90,1992,ＲＣ,住宅,住宅,１低住専,60,200,2016,未改装,,,,665,61,851,1,0,4,11,0,0,0,347,160
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),18,12000000,３ＬＤＫ＋Ｓ,70,1989,ＲＣ,住宅,住宅,１中住専,60,200,2016,改装済み,,,,665,61,851,1,0,4,11,0,0,0,347,160
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),29,6600000,３ＬＤＫ,75,1992,ＳＲＣ,住宅,住宅,１中住専,60,200,2016,改装済み,,,,665,61,851,1,0,4,11,0,0,0,347,160
中古マンション等,不動産取引価格情報,27208,大阪府,福田,東貝塚,10,15000000,３ＬＤＫ,80,2002,ＲＣ,住宅,住宅,準工業,60,200,2016,未改装,,,,665,61,851,1,0,4,11,0,0,0,347,160
中古マンション等,不動産取引価格情報,27208,大阪府,堀,貝塚(大阪),11,6000000,２ＬＤＫ,60,1981,ＳＲＣ,住宅,住宅,１種住居,60,200,2016,未改装,,,,665,61,851,1,0,4,11,0,0,0,347,160
